,index,asin,Brand,Model,title,image,url,Price,Sales,rating
0,0,B0009N5L7K,Motorola,Motorola I265 phone,Motorola I265 phone,https://m.media-amazon.com/images/I/419WBAVDARL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-i265-I265-phone/dp/B0009N5L7K,49.95,7,2.3333333333333335
1,1,B000SKTZ0S,Motorola,MOTOROLA C168i AT&T ,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,https://m.media-amazon.com/images/I/71b+q3ydkIS._AC_UY218_ML3_.jpg,https://www.amazon.com/MOTOROLA-C168i-CINGULAR-PREPAID-GOPHONE/dp/B000SKTZ0S,99.99,22,2.8
2,2,B001DCJAJG,Motorola,Motorola V365 no con,Motorola V365 no contract cellular phone AT&T,https://m.media-amazon.com/images/I/61LYNCVrrKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-V365-contract-cellular-phone/dp/B001DCJAJG,149.99,12,3.75
3,3,B002WTC1NG,Motorola,Motorola Barrage V86,Motorola Barrage V860 Phone (Verizon Wireless),https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,139.99,352,3.9936305732484074
4,4,B0033SFV5A,Samsung,Verizon or PagePlus ,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A,64.99,57,3.3529411764705883
5,5,B003FCO9XE,Samsung,Samsung Smooth Veriz,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE,99.99,78,3.3870967741935485
6,6,B003P2VNAQ,Samsung,"Samsung Rugby II, Bl","Samsung Rugby II, Black (AT&T)",https://m.media-amazon.com/images/I/81RAS6NJR5L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ,179.0,70,4.0
7,7,B003W646YK,Motorola,Motorola i570 Nextel,Motorola i570 Nextel iDen PTT rugged black cell phone,https://m.media-amazon.com/images/I/51oFJfZ-LcL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-i570-Nextel-rugged-black/dp/B003W646YK,79.0,3,2.6666666666666665
8,8,B003XREZ4O,Samsung,"Samsung Gusto, Black","Samsung Gusto, Black (Verizon Wireless)",https://m.media-amazon.com/images/I/8119wz+eORL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O,99.99,16,5.0
9,9,B0046REOWS,Samsung,Samsung T201G Prepai,Samsung T201G Prepaid Phone (Net10),https://m.media-amazon.com/images/I/91zoUJ+sJKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-T201G-Prepaid-Phone-Net10/dp/B0046REOWS,64.94,22,4.0
10,10,B004C7NVD0,Samsung,Samsung Convoy SCH-U,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,https://m.media-amazon.com/images/I/61ve0RjDSUL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SCH-U640-Ruggedized-megapixel-Verizon/dp/B004C7NVD0,199.99,107,3.9587628865979383
11,11,B004GLQTG8,Samsung,Samsung R355C Net 10,Samsung R355C Net 10 Unlimited,https://m.media-amazon.com/images/I/51p8LMQ-rIL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-R355C-Net-10-Unlimited/dp/B004GLQTG8,79.99,146,4.0928571428571425
12,12,B006VH79R8,Samsung,Samsung Replenish Pr,Samsung Replenish Prepaid Android Phone (Boost Mobile),https://m.media-amazon.com/images/I/41Z0ow6IIZL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Replenish-Prepaid-Android-Mobile/dp/B006VH79R8,14.99,84,3.828125
13,13,B007LU0HU0,Samsung,Samsung Replenish SP,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,https://m.media-amazon.com/images/I/814X9g3snHL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Replenish-SPH-M580-Contract-Sprint/dp/B007LU0HU0,249.99,10,2.5
14,14,B007X6FFLS,Samsung,Samsung a157 GoPhone,Samsung a157 GoPhone (AT&T),https://m.media-amazon.com/images/I/71Y+FpZYcFL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-a157-GoPhone-AT-T/dp/B007X6FFLS,97.69,305,3.8686131386861313
15,15,B00836Y6B2,Nokia,Nokia Lumia 900 Blac,Nokia Lumia 900 Black Factory Unlocked,https://m.media-amazon.com/images/I/81ZlbLtZ3PL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-900-Factory-Unlocked/dp/B00836Y6B2,109.98,929,3.5024691358024693
16,16,B0096DERAG,Motorola,Motorola MC75A Hand ,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,https://m.media-amazon.com/images/I/51tGSJTIQmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Computer-Windows-Mobile-MC75A8-PYFSWQRA9WR/dp/B0096DERAG,499.95,1,1.0
17,17,B0096QYH80,Motorola,Motorola Droid RAZR ,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",https://m.media-amazon.com/images/I/71-afm8RuLL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Droid-RAZR-Verizon-Wireless/dp/B0096QYH80,349.99,488,3.418831168831169
18,18,B009LRMQTG,Motorola,Telcel America Motor,Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black,https://m.media-amazon.com/images/I/814kh7KdbtL._AC_UY218_ML3_.jpg,https://www.amazon.com/Telcel-America-Motorola-Pre-Paid-Phone/dp/B009LRMQTG,99.99,196,4.068181818181818
19,19,B00A2V7BA4,Nokia,"Nokia Lumia 920, Bla","Nokia Lumia 920, Black 32GB (AT&T)",https://m.media-amazon.com/images/I/61UTfUPGH1L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-920-Black-32GB/dp/B00A2V7BA4,209.67,468,3.8384615384615386
20,20,B00A2V7ULY,Nokia,"Nokia Lumia 920, Yel","Nokia Lumia 920, Yellow 32GB (AT&T)",https://m.media-amazon.com/images/I/71kn06zWzvL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-920-Yellow-32GB/dp/B00A2V7ULY,184.18,45,4.208333333333333
21,21,B00A408AF8,Samsung,Samsung Galaxy Expre,"Samsung Galaxy Express, Gray 8GB (AT&T)",https://m.media-amazon.com/images/I/816B5o+yZkL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Express-Gray-8GB/dp/B00A408AF8,389.28,8,5.0
22,22,B00A7F57EM,Nokia,Nokia Lumia 822 16GB,Nokia Lumia 822 16GB Windows Phone Black - Verizon,https://m.media-amazon.com/images/I/81jxGoYUWTL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-Windows-Phone-Black/dp/B00A7F57EM,204.16,62,4.0
23,23,B00ACZ0DUA,Nokia,Nokia Lumia 920 32GB,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,https://m.media-amazon.com/images/I/51FCiU2tJ8L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Unlocked-Windows-Smartphone-Optics/dp/B00ACZ0DUA,182.25,74,3.676470588235294
24,24,B00B5081MI,Samsung,Samsung A157 Unlocke,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",https://m.media-amazon.com/images/I/51gbQhGQWWL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Unlocked-Internet-Capabilities-Speakerphone/dp/B00B5081MI,114.99,49,3.0
25,25,B00BV1MVJ0,Samsung,Samsung Galaxy S4 GT,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",https://m.media-amazon.com/images/I/81Kb-5sSTLL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-GT-I9500-Factory-Unlocked-Cellphone/dp/B00BV1MVJ0,144.71,1,2.3
26,26,B00D35Z6OE,HUAWEI,Huawei Glory Android,Huawei Glory Android Prepaid Phone (Net10),https://m.media-amazon.com/images/I/81iP8QUNElL._AC_UY218_ML3_.jpg,https://www.amazon.com/Huawei-Glory-Android-Prepaid-Phone/dp/B00D35Z6OE,27.9,36,3.4166666666666665
27,27,B00D99ZBR6,Samsung,Samsung Galaxy Preva,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),https://m.media-amazon.com/images/I/61NDR6WOqPL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Prevail-II-Discontinued-Manufacturer/dp/B00D99ZBR6,89.0,314,3.6654135338345863
28,28,B00E45043A,Nokia,Nokia Lumia 520 (AT&,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),https://m.media-amazon.com/images/I/71X1D2B1IKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-520-Discontinued-Manufacturer/dp/B00E45043A,59.99,4,4.6
29,29,B00E6FGSHY,Samsung,"Samsung Galaxy S4, W","Samsung Galaxy S4, White Frost 16GB (AT&T)",https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S4-White-Frost/dp/B00E6FGSHY,154.97,641,4.025817555938038
30,30,B00F1HVZ0Q,Samsung,Samsung Galaxy S4 M9,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,https://m.media-amazon.com/images/I/51hnjqGbVqL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-M919-T-Mobile-Smartphone/dp/B00F1HVZ0Q,229.99,111,3.9690721649484537
31,31,B00F3JPKCG,Nokia,"Nokia Lumia 925, Bla","Nokia Lumia 925, Black 16GB (AT&T)",https://m.media-amazon.com/images/I/81buw9ag-VL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-925-Black-16GB/dp/B00F3JPKCG,54.99,46,3.0
32,32,B00F9RRVUG,Samsung,Samsung a157V (AT&T ,Samsung a157V (AT&T Go Phone) No Annual Contract,https://m.media-amazon.com/images/I/415nK4G4hJL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-a157V-Phone-Annual-Contract/dp/B00F9RRVUG,102.0,299,4.007547169811321
33,33,B00FTV382C,Samsung,SAMSUNG GALAXY NOTE ,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",https://m.media-amazon.com/images/I/61pNvD+KDoL._AC_UY218_ML3_.jpg,https://www.amazon.com/SAMSUNG-GALAXY-T-Mobile-locked-white/dp/B00FTV382C,299.0,85,3.7974683544303796
34,34,B00G9G0HTI,Samsung,Samsung ATIV S Neo I,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",https://m.media-amazon.com/images/I/81QMC1LvX0L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-ATIV-Neo-Royal-Blue/dp/B00G9G0HTI,79.0,10,4.625
35,35,B00HE5834Y,Motorola,Motorola Droid Ultra,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,https://m.media-amazon.com/images/I/81p5bS9i6dL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-XT1080-Android-Smartphone-Camera/dp/B00HE5834Y,249.99,30,3.92
36,36,B00HPP3QD6,Motorola,Moto G - Verizon Pre,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),https://m.media-amazon.com/images/I/81VuPb8-arL._AC_UY218_ML3_.jpg,https://www.amazon.com/Moto-Verizon-Prepaid-Phone-Only/dp/B00HPP3QD6,64.99,773,4.288888888888889
37,37,B00HWEMZ1E,Nokia,"Nokia Lumia Icon, Bl","Nokia Lumia Icon, Black 32GB (Verizon Wireless)",https://m.media-amazon.com/images/I/51W3p2zTv9L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-Icon-Verizon-Wireless/dp/B00HWEMZ1E,233.71,159,4.3090909090909095
38,38,B00I2KY5TM,Nokia,Nokia Lumia 928 32GB,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,https://m.media-amazon.com/images/I/51YIDTWEWDL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-Unlocked-Windows-Smartphone/dp/B00I2KY5TM,159.99,13,3.9166666666666665
39,39,B00IZ1X21K,Samsung,"Samsung Galaxy S5, G","Samsung Galaxy S5, G900P 16GB White - Sprint",https://m.media-amazon.com/images/I/81CKMjxseIL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S5-G900P-White/dp/B00IZ1X21K,269.99,5,2.2222222222222223
40,40,B00K0NS0P4,Motorola,Motorola Moto G (1st,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",https://m.media-amazon.com/images/I/71L5LzVmrcL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Moto-Generation-Unlocked-Cellphone/dp/B00K0NS0P4,209.75,1,3.7
41,41,B00KM10ITK,Nokia,Nokia Lumia 635 8GB ,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,https://m.media-amazon.com/images/I/61WZWpJTYmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-Unlocked-Windows-Quad-Core/dp/B00KM10ITK,103.98,693,3.7423780487804876
42,42,B00LIYEMTC,Sony,Sony Xperia Z2 - Unl,Sony Xperia Z2 - Unlocked (White),https://m.media-amazon.com/images/I/41ATwBsWGbL._AC_UY218_ML3_.jpg,https://www.amazon.com/MOBILE-1281-9167-XPERIA-WHITE-D6502/dp/B00LIYEMTC,606.3,5,4.2
43,43,B00MWI4HW0,Motorola,Motorola Moto G (2nd,"Motorola Moto G (2nd generation) Unlocked Cellphone, 8GB, Black",https://m.media-amazon.com/images/I/61OLIW5q0eL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-2nd-generation-Unlocked-Cellphone/dp/B00MWI4HW0,99.0,3,4.6
44,44,B00NKR9MJA,Samsung,Samsung Galaxy Note ,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",https://m.media-amazon.com/images/I/A1S4AmmN0pL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Note-Frosted-Sprint/dp/B00NKR9MJA,259.98,227,3.7549019607843137
45,45,B00O15MWOM,Nokia,Nokia Lumia 530 Whit,Nokia Lumia 530 White - No Contract (T-Mobile),https://m.media-amazon.com/images/I/81ba7gOGt5L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-530-White-Contract/dp/B00O15MWOM,133.28,378,3.4580838323353293
46,46,B00O2ALRNS,Samsung,Samsung Galaxy S4 SG,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SGH-I337-Unlocked-Cellphone/dp/B00O2ALRNS,154.97,175,3.067073170731707
47,47,B00O2SW2IY,Motorola,Verizon 4G LTE Moto ,Verizon 4G LTE Moto Luge by Motorola Prepaid Smartphone,https://m.media-amazon.com/images/I/612FFO+p-3L._AC_UY218_ML3_.jpg,https://www.amazon.com/Verizon-Moto-Motorola-Prepaid-Smartphone/dp/B00O2SW2IY,74.98,31,3.1153846153846154
48,48,B00OEK6TWU,Samsung,Samsung Galaxy Note ,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,https://m.media-amazon.com/images/I/91Q7P86ef5L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Note-Unlocked-Cellphone/dp/B00OEK6TWU,194.0,431,3.9825
49,49,B00OZTSY6Y,Motorola,Motorola DROID Turbo,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",https://m.media-amazon.com/images/I/81VMO0UpxfL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-DROID-Turbo-Ballistic-Wireless/dp/B00OZTSY6Y,149.99,545,3.8755656108597285
50,50,B00PLBFPAS,Nokia,Nokia Lumia 630 Wind,"Nokia Lumia 630 Windows Prepaid SmartPhone, Carrier Locked to Cricket Wireless, No Contract",https://m.media-amazon.com/images/I/51wHAncQp5L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Windows-SmartPhone-Wireless-Contract/dp/B00PLBFPAS,129.99,14,3.5714285714285716
51,51,B00QFZOYFG,Samsung,Samsung Solstice II ,Samsung Solstice II A817 Touch Screen (AT&T) No Contract,https://m.media-amazon.com/images/I/7132aKahVQL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Solstice-Touch-Screen-Contract/dp/B00QFZOYFG,119.99,4,3.25
52,52,B00SIB3HS0,Samsung,Samsung Galaxy S4 M9,Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost,https://m.media-amazon.com/images/I/81Kb-5sSTLL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Unlocked-Quad-Core-Smartphone/dp/B00SIB3HS0,169.93,32,2.7
53,53,B00V8STWY8,Apple,Apple iPad Air MF529,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)",https://m.media-amazon.com/images/I/61ckVdsUlZL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-MF529LL-Wi-Fi-Silver-Renewed/dp/B00V8STWY8,219.95,6,2.4
54,54,B00WF988BW,Samsung,Samsung Convoy 3 SCH,Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless,https://m.media-amazon.com/images/I/71Q7aSSyOkL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Convoy-SCH-U680-Verizon-Wireless/dp/B00WF988BW,169.98,264,3.818548387096774
55,55,B00WHE2WCG,Samsung,Samsung Galaxy S6 G9,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,https://m.media-amazon.com/images/I/81oYNE1MUxL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-G920A-Unlocked-Octa-Core-Smartphone/dp/B00WHE2WCG,219.88,338,3.054140127388535
56,56,B00WIYFBWI,Samsung,Samsung Galaxy S6 Ed,Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire,https://m.media-amazon.com/images/I/71MayBWnHjL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-G925F-Unlocked-Phone/dp/B00WIYFBWI,630.71,7,3.6666666666666665
57,57,B00XQVDW6Y,Motorola,Motorola Moto E LTE ,Motorola Moto E LTE - No Contract Phone (U.S. Cellular),https://m.media-amazon.com/images/I/51y0QQ7Z4KL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Moto-LTE-Contract-Cellular/dp/B00XQVDW6Y,89.99,64,3.890625
58,58,B00ZE8HRYK,Samsung,Samsung Galaxy S6 Ac,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",https://m.media-amazon.com/images/I/81zlazvfjBL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S6-Active-Grey/dp/B00ZE8HRYK,585.28,325,3.6653225806451615
59,59,B010V43VFA,Sony,Sony Experia Z3+ 4G ,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White),https://m.media-amazon.com/images/I/71iFTB59LEL._AC_UY218_ML3_.jpg,https://www.amazon.com/Sony-Xperia-Z3-5-2-Inch-Smartphone/dp/B010V43VFA,144.9,41,3.6052631578947367
60,60,B013XAPUW6,Samsung,Samsung Galaxy Note ,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)",https://m.media-amazon.com/images/I/814SsOj-45L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B013XAPUW6,399.99,799,3.707913669064748
61,61,B014GCG150,Samsung,Samsung Galaxy J5 SM,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",https://m.media-amazon.com/images/I/61alJun3JvL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-J500H-Unlocked-Smartphone-International/dp/B014GCG150,148.98,645,4.152845528455285
62,62,B014V5XDV2,Samsung,Samsung Galaxy S6 G9,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed),https://m.media-amazon.com/images/I/41Z9ulF4QML._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Verizon-Wireless-Smartphone/dp/B014V5XDV2,121.46,90,3.25
63,63,B014VLTTC8,Samsung,Samsung Galaxy Mega ,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,https://m.media-amazon.com/images/I/51b2GW++SDL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Camera/dp/B014VLTTC8,290.0,32,3.3666666666666667
64,64,B015ROR4PC,Motorola,Motorola Droid Turbo,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed),https://m.media-amazon.com/images/I/51qmSOmqU8L._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Droid-Turbo-Android-Smartphone/dp/B015ROR4PC,74.99,36,4.0606060606060606
65,65,B0172EEAQQ,Nokia,Nokia 105 RM-1135 Du,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only.",https://m.media-amazon.com/images/I/51X4GhYfx4L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-RM-1135-Dual-Band-Factory-Unlocked/dp/B0172EEAQQ,46.83,127,2.8677685950413223
66,66,B018OMP8ES,Samsung,Samsung Galaxy Note ,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless),https://m.media-amazon.com/images/I/611pE6W+X0L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SM-N920V-Verizon-Wireless/dp/B018OMP8ES,300.55,799,3.707913669064748
67,67,B019VHBB32,Motorola,Motorola Droid Turbo,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black),https://m.media-amazon.com/images/I/51-mD4FoY3L._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Droid-Turbo-XT1585-Color/dp/B019VHBB32,239.99,58,3.574074074074074
68,68,B01ATTBXY8,Motorola,Motorola Droid Turbo,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed),https://m.media-amazon.com/images/I/91oY6n78hhL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Droid-Turbo-Smartphone-Refurbished/dp/B01ATTBXY8,74.99,209,3.6315789473684212
69,69,B01AUOS8BI,Apple,Apple iPhone 6S Plus,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://m.media-amazon.com/images/I/71371BrehxL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-Plus-Unlocked-128GB/dp/B01AUOS8BI,239.98,7,2.0
70,70,B01CJ3SCJ6,Samsung,Samsung Galaxy S7 32,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,https://m.media-amazon.com/images/I/71kSYOju0xL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Unlocked-Verizon-Wireless/dp/B01CJ3SCJ6,284.98,250,3.3135593220338984
71,71,B01CR1FQMG,Apple,"Apple iPhone 6S, 64G","Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://m.media-amazon.com/images/I/412jWjEIzKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-6S-Unlocked-64GB/dp/B01CR1FQMG,160.08,1,2.8
72,72,B01CYYYRNK,Samsung,Samsung Galaxy S7 SM,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",https://m.media-amazon.com/images/I/419J7KwTxML._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SM-G930A-Unlocked-Smartphone/dp/B01CYYYRNK,248.7,394,3.185082872928177
73,73,B01D0JV7AO,Samsung,Samsung Galaxy S6 SM,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed),https://m.media-amazon.com/images/I/81cvwVzNoiL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-G920V-Sapphire-Smartphone-Verizon/dp/B01D0JV7AO,119.95,1,2.9
74,74,B01D0JXCKW,Samsung,Samsung Galaxy S6 SM,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed),https://m.media-amazon.com/images/I/71AJjAGch8L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-G920V-Smartphone-Certified-Refurbished/dp/B01D0JXCKW,159.99,1,2.9
75,75,B01D1J9BGU,Samsung,Samsung Galaxy S7 Ed,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,https://m.media-amazon.com/images/I/71ap4Pp+y0L._AC_UY218_ML3_.jpg,https://www.amazon.com/SAMSUNG-GALAXY-INTERNATIONAL-VERSION-WARRANTY/dp/B01D1J9BGU,399.0,783,3.852359208523592
76,76,B01D4Z97UG,Samsung,Samsung Galaxy S6 SM,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),https://m.media-amazon.com/images/I/61X4TVQJT4L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-G920A-Unlocked-Octa-Core-Smartphone/dp/B01D4Z97UG,122.99,11,2.4444444444444446
77,77,B01D53A7KG,Samsung,Samsung Galaxy S6 SM,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),https://m.media-amazon.com/images/I/614sFnZbspL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SM-G920A-Smartphone-Renewed/dp/B01D53A7KG,129.0,139,3.803030303030303
78,78,B01DL9TVW4,Samsung,Samsung Galaxy S5 G9,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",https://m.media-amazon.com/images/I/51y9qk-yEZL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Factory-Unlocked-Cellphone-Android/dp/B01DL9TVW4,210.99,1,2.0
79,79,B01DZ2CS4U,Samsung,Samsung Galaxy S7 32,Samsung Galaxy S7 32GB G930V Unlocked - Black,https://m.media-amazon.com/images/I/51i3dF4frhL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S7-G930V-Unlocked/dp/B01DZ2CS4U,275.99,250,3.3135593220338984
