,index,asin,Brand,Model,title,image,url,Price,Sales,rating
237,237,B077NJQPGB,Apple,Apple iPhone 7 256GB,Apple iPhone 7 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed),https://m.media-amazon.com/images/I/71A45XDJ09L._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B077NJQPGB,256.82,8,3.5714285714285716
238,238,B077NK4TZ7,Apple,Apple iPhone 7 256GB,Apple iPhone 7 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Rose Gold (Renewed),https://m.media-amazon.com/images/I/71FvZY9-KrL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B077NK4TZ7,229.99,2,2.0
239,239,B077NTKFDB,Apple,Apple iPhone 7 Plus ,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Silver (Renewed),https://m.media-amazon.com/images/I/61C5dT6qy0L._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B077NTKFDB,329.97,17,3.3076923076923075
240,240,B077T4MVZ6,Samsung,Samsung Galaxy G550T,Samsung Galaxy G550T On5 GSM Unlocked 4G LTE Android (Does Not Work With Metro PCS) Smartphone - White - (Renewed),https://m.media-amazon.com/images/I/71Ln01CVX9L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Unlocked-Android-Smartphone/dp/B077T4MVZ6,94.99,32,2.413793103448276
241,241,B077XM1GZM,Apple,Apple iPhone 6S Plus,"Apple iPhone 6S Plus, 64GB, Silver - Fully Unlocked (Renewed)",https://m.media-amazon.com/images/I/81ia5dHUn3L._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-a1687-Unlocked-Refurbished/dp/B077XM1GZM,258.8,12,4.3
242,242,B077YTCMH9,Samsung,Samsung Galaxy S7 ED,"Samsung Galaxy S7 EDGE G935V 32GB, Verizon/GSM Unlocked, (Renewed) (Black)",https://m.media-amazon.com/images/I/31MTdGW4xHL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Verizon-Unlocked-Renewed/dp/B077YTCMH9,199.0,606,3.739292364990689
243,243,B077ZKKDWK,Sony,Sony Xperia XA2 Ultr,"Sony Xperia XA2 Ultra Factory Unlocked Phone - 6"" Screen - 32GB - Silver (U.S. Warranty)",https://m.media-amazon.com/images/I/719hX34RZhL._AC_UY218_ML3_.jpg,https://www.amazon.com/Sony-Xperia-Ultra-Factory-Unlocked/dp/B077ZKKDWK,399.99,304,3.861111111111111
244,244,B077ZMWX1W,Sony,"Sony Xperia L2, Unlo","Sony Xperia L2, Unlocked, 32GB - Black (U.S. Warranty)",https://m.media-amazon.com/images/I/71w5nP+TCOL._AC_UY218_ML3_.jpg,https://www.amazon.com/Sony-Xperia-Factory-Unlocked-Phone/dp/B077ZMWX1W,249.99,71,3.5833333333333335
245,245,B0786PRKBP,Samsung,Samsung Galaxy S8 - ,Samsung Galaxy S8 - Unlocked - Midnight Black (Renewed),https://m.media-amazon.com/images/I/81v9fOEU9DL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Carriers/dp/B0786PRKBP,264.99,1,2.9
246,246,B0787V183F,Google,Google Pixel 2 64 GB,"Google Pixel 2 64 GB, Black Factory Unlocked (Renewed)",https://m.media-amazon.com/images/I/7108ZFza5gL._AC_UY218_ML3_.jpg,https://www.amazon.com/Google-Pixel-64-Black-Refurbished/dp/B0787V183F,155.99,363,3.6677631578947367
247,247,B0788F8DKC,Samsung,Samsung DeX Wireless,Samsung DeX Wireless Qi Desktop Charging Dock Station EE-MG950 Galaxy S8 + Note8 (Renewed),https://m.media-amazon.com/images/I/51f9Q6m32TL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Wireless-Charging-Certified-Refurbished/dp/B0788F8DKC,36.89,63,4.131578947368421
248,248,B0788ZD69Z,Samsung,Samsung Galaxy S8 Pl,Samsung Galaxy S8 Plus Unlocked 64GB (Midnight Black) - (Renewed),https://m.media-amazon.com/images/I/71vr2Ck4z2L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S8-Plus-Unlocked/dp/B0788ZD69Z,298.95,1,2.9
249,249,B078HFZVZ8,Apple,Apple iPad 2 MC774LL,"Apple iPad 2 MC774LL/A Tablet (32GB, Wifi + AT&T 3G, Black) 2nd Generation (Renewed)",https://m.media-amazon.com/images/I/51yCOZ9kZKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-MC774LL-Tablet-Generation-Refurbished/dp/B078HFZVZ8,129.6,5,3.2
250,250,B078RBVVCV,Motorola,Motorola Moto G5S Pl,Motorola Moto G5S Plus XT1805 4G LTE Unlocked GSM 32GB 4GB RAm Octa Core Dual 13MP International Version No Warranty,https://m.media-amazon.com/images/I/71uHmL4wC3L._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-XT1805-Factory-Unlocked-International/dp/B078RBVVCV,175.0,56,3.3076923076923075
251,251,B078SBFV72,Apple,Apple iPad Air MF003,"Apple iPad Air MF003LL/A (32GB, Wi-Fi + AT&T, Black with Space Gray) OLD VERSION (Renewed)",https://m.media-amazon.com/images/I/818vteDu+ZL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-MF003LL-Wi-Fi-VERSION-Refurbished/dp/B078SBFV72,166.19,7,5.0
252,252,B078WZ86Y9,Apple,"Apple iPhone 7, 128G","Apple iPhone 7, 128GB, Red - For AT&T / T-Mobile (Renewed)",https://m.media-amazon.com/images/I/41Zknaw6InL._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-GSM-Unlocked-128GB/dp/B078WZ86Y9,234.35,58,3.0526315789473686
253,253,B078YXQ38Z,Samsung,Samsung Galaxy S8 Ac,Samsung Galaxy S8 Active 64GB SM-G892A Unlocked GSM - Meteor Gray (Renewed),https://m.media-amazon.com/images/I/61wgvFSAJQL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S8-Active-SM-G892A/dp/B078YXQ38Z,274.95,185,3.723684210526316
254,254,B079142R7Y,ASUS,ASUS ZenFone Max Plu,ASUS ZenFone Max Plus ZB570TL-MT67-3G32G-BL - 5.7” 1920x1080-3GB RAM - 32GB storage - LTE Unlocked Dual SIM Cell Phone - US Warranty - Silver,https://m.media-amazon.com/images/I/71QHUuh-ctL._AC_UY218_ML3_.jpg,https://www.amazon.com/ASUS-ZenFone-Plus-ZB570TL-MT67-3G32G-BL-1920x1080-3GB/dp/B079142R7Y,229.0,155,3.4661016949152543
255,255,B0791VS3N9,HUAWEI,Huawei Mate SE Facto,Huawei Mate SE Factory Unlocked 5.93” - 4GB/64GB Octa-core Processor| 16MP + 2MP Dual Camera| GSM Only |Grey (US Warranty),https://m.media-amazon.com/images/I/811cPuY63mL._AC_UY218_ML3_.jpg,https://www.amazon.com/Huawei-Mate-Factory-Unlocked-5-93/dp/B0791VS3N9,349.99,2,4.2
256,256,B0799ZMY6D,Google,Google Pixel 2 XL 12,"Google Pixel 2 XL 128 GB, Black (Renewed)",https://m.media-amazon.com/images/I/71CDE9pG4hL._AC_UY218_ML3_.jpg,https://www.amazon.com/Google-Pixel-128-Black-Renewed/dp/B0799ZMY6D,219.99,292,4.028455284552845
257,257,B079C1K282,Google,Google Pixel 2 XL 64,"Google Pixel 2 XL 64 GB, Black (Renewed)",https://m.media-amazon.com/images/I/71CDE9pG4hL._AC_UY218_ML3_.jpg,https://www.amazon.com/Google-Pixel-XL-Black-Renewed/dp/B079C1K282,189.96,254,4.093596059113301
258,258,B079C2Q6MH,HUAWEI,Huawei Nexus 6p 128G,Huawei Nexus 6p 128GB - Factory Unlocked Phone - Frost (Certified Refurbished),https://m.media-amazon.com/images/I/61pkVr0F+WL._AC_UY218_ML3_.jpg,https://www.amazon.com/Huawei-Nexus-128GB-Certified-Refurbished/dp/B079C2Q6MH,129.95,3,3.0
259,259,B079H6RLKQ,Samsung,Samsung Galaxy S9 G9,Samsung Galaxy S9 G960U 64GB Unlocked GSM 4G LTE Phone w/ 12MP Camera - Midnight Black,https://m.media-amazon.com/images/I/81+h9mpyQmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S9-Unlocked-Smartphone/dp/B079H6RLKQ,499.99,2,2.1
260,260,B079HB518K,Apple,"Apple iPhone 7, 32GB","Apple iPhone 7, 32GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://m.media-amazon.com/images/I/71x3e0x+M2L._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-GSM-Unlocked-32GB/dp/B079HB518K,199.0,243,3.7942857142857145
261,261,B079HG7TZS,HUAWEI,Huawei P Smart (32GB,"Huawei P Smart (32GB) 5.6"" Fullview Display & Dual Camera's, 4G LTE Dual-SIM Factory Unlocked w/ Fingerprint Scanner FIG-L23 International Model, No Warranty (Black)",https://m.media-amazon.com/images/I/51+UNS7GlGL._AC_UY218_ML3_.jpg,https://www.amazon.com/Fullview-Dual-SIM-Fingerprint-FIG-L23-International/dp/B079HG7TZS,179.99,34,4.46875
262,262,B079K78C1Y,Google,Google Pixel XL 128G,Google Pixel XL 128GB Silver (Unlocked) - (Renewed),https://m.media-amazon.com/images/I/61q3zgWA8yL._AC_UY218_ML3_.jpg,https://www.amazon.com/Google-Pixel-128GB-Silver-Unlocked/dp/B079K78C1Y,154.95,33,4.214285714285714
263,263,B079NM9SZL,Nokia,Nokia 5 - Android 9.,"Nokia 5 - Android 9.0 Pie - 16 GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 5.2"" Screen - Blue",https://m.media-amazon.com/images/I/51OGbwPc-DL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Unlocked-Smartphone-T-Mobile-Metropcs/dp/B079NM9SZL,89.0,45,3.657142857142857
